Bureau of Justice Statistics,,,,,,,,,,,,
Filename: jeeus17t03.csv,,,,,,,,,,,,
"Table 3. Direct expenditures (in thousands of dollars) on corrections in state governments, by type of correctional activity and state, 2017",,,,,,,,,,,,
"Report title: Justice Expenditures and Employment in the United States, 2017 NCJ 256093",,,,,,,,,,,,
"Data source: U.S. Census Bureau, Census of Governments, 2017",,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 3. Direct expenditures (in thousands of dollars) on corrections in state governments, by type of correctional activity and state, 2017",,,,,,,,,,,,
,,,Correctional institutions/a,,,,,,Other corrections/b,,,
Nebraska,,"$349,865 ","$226,355 ","$3,509 ","$1,938 ","$1,571 ",65.7,,"$119,656 ",$345 ,34.3,
Nevada,,"$305,278 ","$225,743 ","$17,621 ","$13,941 ","$3,680 ",79.7,,"$60,379 ","$1,535 ",20.3,
New Hampshire,,"$145,827 ","$107,316 ","$28,519 ","$27,440 ","$1,079 ",93.1,,"$9,896 ",$96 ,6.9,
New Jersey,,"$1,431,990 ","$1,072,052 ","$32,046 ","$25,924 ","$6,122 ",77.1,,"$326,411 ","$1,481 ",22.9,
New Mexico,,"$481,475 ","$344,167 ",$0 ,$0 ,$0 ,71.5,,"$137,308 ",$0 ,28.5,
New York,,"$3,120,396 ","$2,870,661 ","$68,677 ","$53,775 ","$14,902 ",94.2,,"$180,320 ",$738 ,5.8,
North Carolina,,"$1,388,080 ","$1,188,252 ","$15,603 ","$6,523 ","$9,080 ",86.7,,"$183,115 ","$1,110 ",13.3,
North Dakota,,"$102,678 ","$100,839 ",$866 ,$166 ,$700 ,99.1,,$969 ,$4 ,0.9,
Ohio,,"$1,520,489 ","$1,293,676 ","$76,509 ","$60,719 ","$15,790 ",90.1,,"$146,371 ","$3,933 ",9.9,
Oklahoma,,"$593,201 ","$497,539 ","$6,182 ",$294 ,"$5,888 ",84.9,,"$89,426 ",$54 ,15.1,
Oregon,,"$766,260 ","$718,991 ","$41,614 ","$4,640 ","$36,974 ",99.3,,"$5,649 ",$6 ,0.7,
Pennsylvania,,"$2,170,523 ","$2,007,815 ","$28,196 ","$12,977 ","$15,219 ",93.8,,"$133,090 ","$1,422 ",6.2,
Rhode Island,,"$210,109 ","$170,689 ","$4,641 ","$3,956 ",$685 ,83.4,,"$34,549 ",$230 ,16.6,
South Carolina,,"$470,254 ","$422,494 ","$5,638 ","$5,130 ",$508 ,91,,"$42,122 ",$0 ,9,
South Dakota,,"$124,688 ","$115,556 ","$1,845 ",$285 ,"$1,560 ",94.2,,"$7,283 ",$4 ,5.8,
Tennessee,,"$657,021 ","$558,486 ","$6,717 ","$3,754 ","$2,963 ",86,,"$90,643 ","$1,175 ",14,
Texas,,"$3,813,532 ","$3,577,891 ","$69,527 ","$7,192 ","$62,335 ",95.6,,"$165,935 ",$179 ,4.4,
Utah,,"$372,616 ","$226,505 ","$42,449 ",$0 ,"$42,449 ",72.2,,"$98,642 ","$5,020 ",27.8,
Vermont,,"$140,867 ","$92,188 ",$258 ,$0 ,$258 ,65.6,,"$47,549 ",$872 ,34.4,
Virginia,,"$1,430,595 ","$1,124,182 ","$35,650 ","$21,575 ","$14,075 ",81.1,,"$262,876 ","$7,887 ",18.9,
Washington,,"$998,607 ","$734,142 ","$41,135 ","$22,187 ","$18,948 ",77.6,,"$221,263 ","$2,067 ",22.4,
West Virginia,,"$301,041 ","$278,055 ","$9,953 ","$6,644 ","$3,309 ",95.7,,"$12,872 ",$161 ,4.3,
Wisconsin,,"$981,162 ","$826,300 ","$16,273 ","$13,174 ","$3,099 ",85.9,,"$138,588 ",$1 ,14.1,
Wyoming,,"$130,117 ","$103,010 ",$127 ,$80 ,$47 ,79.3,,"$26,980 ",$0 ,20.7,
Note: Expenditures are in thousands of dollars. ,,,,,,,,,,,,
a/Includes expenditures on correctional facilities that confine individuals and on facilities’ activities. See Terms and definitions.,,,,,,,,,,,,
"b/Includes expenditures on correctional activities other than confinement, such as parole boards and probation programs. See Terms and definitions.",,,,,,,,,,,,
"Source: U.S. Census Bureau, Census of Governments, 2017.",,,,,,,,,,,,
